Overall rank_2019,Country or region,Score_2019,Rank_2018,Score_2018,Rank_2017,Score_2017, Rank_2016,Score_2016,2020.Rank,2020_Score,Rank_2022,Score_2022,2021. score,2021.Rank
1,Finland,7.769,1,7.632,5,7.469,5,7.413,1,7.809,1,7.842,7.842,1
2,Denmark,7.6,3,7.555,2,7.522,1,7.526,2,7.646,2,7.62,7.62,2
3,Norway,7.554,2,7.594,1,7.537,4,7.498,5,7.488,6,7.392,7.392,6
6,Switzerland,7.48,5,7.487,4,7.494,2,7.509,3,7.56,3,7.571,7.571,3
4,Iceland,7.494,4,7.495,3,7.504,3,7.501,4,7.504,4,7.554,7.554,4
5,Netherlands,7.488,6,7.441,6,7.377,7,7.339,6,7.449,5,7.464,7.464,5
9,Canada,7.278,7,7.328,7,7.316,6,7.404,11,7.232,14,7.103,7.103,14
7,Sweden,7.343,9,7.314,10,7.284,10,7.291,7,7.353,7,7.363,7.363,7
14,Luxembourg,7.09,17,6.91,18,6.863,20,6.871,10,7.238,8,7.324,7.324,8
8,New Zealand,7.307,8,7.324,8,7.314,8,7.334,8,7.3,9,7.277,7.277,9
10,Austria,7.246,12,7.139,13,7.006,12,7.119,9,7.294,10,7.268,7.268,10
11,Australia,7.228,10,7.272,9,7.284,9,7.313,12,7.223,11,7.183,7.183,11
13,Israel,7.139,19,6.814,11,7.213,11,7.267,14,7.129,12,7.157,7.157,12
17,Germany,6.985,15,6.965,16,6.951,16,6.994,17,7.076,13,7.155,7.155,13
15,United Kingdom,7.054,11,7.19,19,6.714,23,6.725,13,7.165,17,7.064,7.064,17
16,Ireland,7.021,14,6.977,15,6.977,19,6.907,16,7.094,15,7.085,7.085,15
12,Costa Rica,7.167,13,7.072,12,7.079,14,7.087,15,7.121,16,7.069,7.069,16
32,Brazil,6.3,28,6.419,22,6.635,17,6.952,32,6.376,34,6.33,6.33,35
20,Czech Republic,6.852,21,6.711,23,6.609,27,6.596,19,6.911,18,6.965,6.965,18
18,Belgium,6.923,16,6.927,17,6.891,18,6.929,20,6.864,20,6.834,6.834,20
21,United Arab Emirates,6.825,20,6.774,21,6.648,28,6.573,21,6.791,25,6.561,6.561,25
24,France,6.592,23,6.489,31,6.442,32,6.478,23,6.664,21,6.69,6.69,21
37,Bahrain,6.199,43,6.105,41,6.087,42,6.218,40,6.227,22,6.647,6.647,22
26,Chile,6.444,25,6.476,20,6.652,24,6.705,39,6.228,42,6.172,6.172,43
22,Malta,6.726,22,6.627,27,6.527,30,6.488,22,6.773,23,6.602,6.602,23
23,Mexico,6.595,24,6.488,25,6.578,21,6.778,24,6.465,35,6.317,6.317,36
28,Saudi Arabia,6.375,33,6.371,37,6.344,34,6.379,27,6.406,26,6.494,6.494,26
25,Taiwan,6.446,26,6.441,33,6.422,35,6.379,25,6.455,24,6.584,,
30,Spain,6.354,36,6.31,34,6.403,37,6.361,28,6.401,27,6.491,6.491,27
34,Singapore,6.262,34,6.343,26,6.572,22,6.739,31,6.377,32,6.377,6.377,32
36,Italy,6.223,47,6,48,5.964,50,5.977,30,6.387,28,6.483,6.483,28
44,Slovenia,6.118,51,5.948,62,5.758,63,5.768,33,6.363,29,6.461,6.461,29
27,Guatemala,6.436,30,6.382,29,6.454,39,6.324,29,6.399,30,6.435,6.435,30
33,Uruguay,6.293,31,6.379,28,6.454,29,6.545,26,6.44,31,6.431,6.431,31
31,Panama,6.321,27,6.43,30,6.452,25,6.701,36,6.305,40,6.18,6.18,41
46,Kosovo,6.1,66,5.662,78,5.279,77,5.401,35,6.325,,,6.372,33
38,Slovakia,6.198,39,6.173,40,6.098,45,6.078,37,6.281,33,6.331,6.331,34
47,Argentina,6.086,29,6.388,24,6.599,26,6.65,55,5.975,56,5.929,5.929,57
56,Jamaica,5.89,56,5.89,76,5.311,73,5.51,60,5.89,36,6.309,6.309,37
43,Colombia,6.125,37,6.26,36,6.357,31,6.481,44,6.163,51,6.012,6.012,52
42,Lithuania,6.149,50,5.952,52,5.902,60,5.813,41,6.215,37,6.255,6.255,38
49,Cyprus,6.046,61,5.762,65,5.621,69,5.546,45,6.159,38,6.223,6.223,39
29,Qatar,6.374,32,6.374,35,6.375,36,6.375,,,,,,
55,Estonia,5.893,63,5.739,66,5.611,72,5.517,51,6.022,39,6.189,6.189,40
35,El Salvador,6.253,40,6.167,45,6.003,46,6.068,34,6.348,48,6.061,6.061,49
41,Uzbekistan,6.174,44,6.096,47,5.971,49,5.987,38,6.258,41,6.179,6.179,42
52,Thailand,6.008,46,6.072,32,6.424,33,6.474,54,5.999,53,5.985,5.985,54
40,Poland,6.182,42,6.123,46,5.973,57,5.835,43,6.186,43,6.166,6.166,44
60,Kazakhstan,5.809,60,5.79,60,5.819,54,5.919,50,6.058,44,6.152,6.152,45
48,Romania,6.07,52,5.945,57,5.825,71,5.528,47,6.124,45,6.14,6.14,46
51,Kuwait,6.011,45,6.083,39,6.105,41,6.239,48,6.102,46,6.106,6.106,47
80,Malaysia,5.339,35,6.322,42,6.084,47,6.005,82,5.384,79,5.384,5.384,81
70,Serbia,5.603,78,5.398,73,5.395,86,5.177,64,5.778,47,6.078,6.078,48
88,Algeria,5.211,84,5.295,53,5.872,38,6.355,100,5.005,107,4.887,4.887,109
57,Mauritius,5.888,55,5.891,64,5.629,66,5.648,49,6.101,49,6.049,6.049,50
53,Latvia,5.94,53,5.933,54,5.85,68,5.56,57,5.95,50,6.032,6.032,51
62,Hungary,5.758,69,5.62,75,5.324,91,5.145,53,6,52,5.992,5.992,53
45,Nicaragua,6.105,41,6.141,43,6.071,48,5.992,46,6.137,54,5.972,5.972,55
108,Venezuela,4.707,102,4.806,82,5.25,44,6.084,99,5.053,105,4.892,4.892,107
58,Japan,5.886,54,5.915,51,5.92,53,5.921,62,5.871,55,5.94,5.94,56
66,Portugal,5.693,77,5.41,89,5.195,94,5.123,59,5.911,57,5.929,5.929,58
59,Honduras,5.86,72,5.504,91,5.181,104,4.871,56,5.953,58,5.919,5.919,59
50,Ecuador,6.028,48,5.973,44,6.008,51,5.976,58,5.925,65,5.764,5.764,66
75,Croatia,5.432,82,5.321,77,5.293,74,5.488,79,5.505,59,5.882,5.882,60
69,Philippines,5.631,71,5.524,72,5.43,82,5.279,52,6.006,60,5.88,5.88,61
54,South Korea,5.895,57,5.875,56,5.838,58,5.835,61,5.872,61,5.845,5.845,62
65,Peru,5.697,65,5.663,63,5.715,64,5.743,63,5.797,62,5.84,5.84,63
68,Russia,5.648,59,5.81,49,5.963,56,5.856,73,5.546,74,5.477,5.477,76
78,Bosnia and Herzegovina,5.386,93,5.129,90,5.182,87,5.163,69,5.674,,,5.813,64
71,Moldova,5.529,67,5.64,55,5.838,55,5.897,70,5.608,64,5.766,5.766,65
86,Kyrgyzstan,5.261,92,5.131,98,5.004,85,5.185,74,5.542,66,5.744,5.744,67
82,Greece,5.287,79,5.358,87,5.227,99,5.033,77,5.515,67,5.723,5.723,68
61,Bolivia,5.779,62,5.752,58,5.823,59,5.822,65,5.747,68,5.716,5.716,69
83,Mongolia,5.285,94,5.125,100,4.955,101,4.907,81,5.456,69,5.677,5.677,70
63,Paraguay,5.743,64,5.681,70,5.493,70,5.538,67,5.692,70,5.653,5.653,71
73,Montenegro,5.523,81,5.347,83,5.237,88,5.161,72,5.546,71,5.581,5.581,72
81,Belarus,5.323,73,5.483,67,5.569,61,5.802,75,5.54,73,5.534,5.534,75
77,Dominican Republic,5.425,83,5.302,86,5.23,89,5.155,68,5.689,72,5.545,5.545,73
64,Northern Cyprus,5.718,58,5.835,,,62,5.771,,,,,,
67,Pakistan,5.653,75,5.472,80,5.269,92,5.132,66,5.693,103,4.934,4.934,105
74,Tajikistan,5.467,88,5.199,96,5.041,100,4.996,71,5.556,76,5.466,5.466,78
94,Vietnam,5.175,95,5.103,94,5.074,96,5.061,83,5.353,77,5.411,5.411,79
87,Turkmenistan,5.247,68,5.636,59,5.822,65,5.658,95,5.119,95,5.066,5.066,97
72,Libya,5.525,70,5.566,68,5.525,67,5.615,80,5.489,78,5.41,5.41,80
76,Hong Kong,5.43,76,5.43,71,5.472,75,5.458,78,5.51,75,5.477,,
92,Indonesia,5.192,96,5.093,81,5.262,79,5.314,84,5.286,80,5.345,5.345,82
103,Congo (Brazzaville),4.812,114,4.559,124,4.291,,,88,5.194,,,5.342,83
93,China,5.191,86,5.246,79,5.273,,,94,5.124,82,5.339,5.339,84
99,Ivory Coast,4.944,107,4.671,128,4.18,139,3.916,85,5.233,83,5.306,5.306,85
79,Turkey,5.373,74,5.483,69,5.5,78,5.389,93,5.132,102,4.948,4.948,104
116,Armenia,4.559,129,4.321,121,4.376,121,4.36,116,4.677,84,5.283,5.283,86
100,Nepal,4.913,101,4.88,99,4.962,107,4.793,92,5.137,85,5.269,5.269,87
97,Bulgaria,5.011,100,4.933,105,4.714,129,4.217,96,5.102,86,5.266,5.266,88
90,Azerbaijan,5.208,87,5.201,85,7.342,81,5.291,89,5.165,88,5.171,5.171,90
112,Somalia,4.668,98,4.982,93,5.151,76,5.44,,,,,,
96,Cameroon,5.044,99,4.975,107,4.695,114,4.513,98,5.085,89,5.142,5.142,91
111,Senegal,4.681,109,4.631,115,4.535,128,4.219,101,4.981,90,5.132,5.132,92
101,Jordan,4.906,90,5.161,74,5.336,80,5.303,119,4.633,124,4.395,4.395,127
107,Albania,4.719,112,4.586,109,4.644,109,4.655,105,4.883,91,5.117,5.117,93
84,North Macedonia,5.274,,,,,95,5.121,90,5.16,92,5.101,5.101,94
98,Ghana,4.996,108,4.657,131,4.12,124,4.276,91,5.148,93,5.088,5.088,95
114,Niger,4.628,134,4.166,135,4.028,142,3.856,103,4.91,94,5.074,5.074,96
102,Benin,4.883,136,4.141,143,3.657,153,3.484,86,5.216,97,5.045,5.045,99
105,Laos,4.796,110,4.623,,,102,4.876,104,4.889,98,5.03,5.03,100
91,Lebanon,5.197,80,5.358,88,5.225,93,5.129,111,4.772,121,4.584,4.584,123
125,Bangladesh,4.456,115,4.5,110,4.608,110,4.643,107,4.833,99,5.025,5.025,101
118,Guinea,4.534,140,3.964,149,3.507,151,3.607,102,4.949,100,4.984,4.984,102
106,South Africa,4.722,105,4.724,101,4.829,116,4.459,109,4.814,101,4.956,4.956,103
95,Bhutan,5.082,97,5.082,97,5.011,84,5.196,,,,,,
85,Nigeria,5.265,91,5.155,95,5.074,103,4.875,115,4.724,114,4.759,4.759,116
89,Morocco,5.208,85,5.254,84,5.235,90,5.151,97,5.095,104,4.918,4.918,106
119,Georgia,4.519,128,4.34,125,4.286,126,4.252,117,4.673,106,4.891,4.891,108
133,Ukraine,4.332,138,4.103,132,4.096,123,4.324,123,4.561,108,4.875,4.875,110
126,Iraq,4.437,117,4.456,117,4.497,112,4.575,110,4.785,109,4.854,4.854,111
124,Tunisia,4.461,111,4.592,102,4.805,98,5.045,128,4.392,120,4.596,4.596,122
104,Gabon,4.799,103,4.758,118,4.465,134,4.121,108,4.829,110,4.852,4.852,112
115,Burkina Faso,4.587,121,4.424,134,4.032,145,3.739,112,4.769,111,4.834,4.834,113
109,Cambodia,4.7,120,4.433,129,4.168,140,3.907,106,4.848,112,4.83,4.83,114
123,Mozambique,4.466,123,4.417,113,4.55,,,120,4.624,113,4.794,4.794,115
128,Mali,4.39,118,4.447,127,4.19,135,4.073,114,4.729,115,4.723,4.723,117
110,Palestinian Territories,4.696,104,4.743,103,4.775,108,4.754,,,,,4.517,125
117,Iran,4.548,106,4.707,108,4.692,105,4.813,118,4.672,116,4.721,4.721,118
136,Uganda,4.189,135,4.161,133,4.081,146,3.739,126,4.432,117,4.636,4.636,119
141,Liberia,3.975,149,3.495,148,3.533,150,3.622,124,4.558,118,4.625,4.625,120
121,Kenya,4.509,124,4.41,112,4.553,122,4.356,121,4.583,119,4.607,4.607,121
137,Egypt,4.166,122,4.419,104,4.735,120,4.362,138,4.151,129,4.283,4.283,132
138,Zambia,4.107,125,4.377,116,4.514,106,4.795,141,3.759,134,4.073,4.073,137
113,Namibia,4.639,119,4.441,111,4.574,113,4.574,122,4.571,122,4.574,4.574,124
129,Sierra Leone,4.374,113,4.571,106,4.709,111,4.635,139,3.926,135,3.849,3.849,138
131,Myanmar,4.36,130,4.308,114,4.545,119,4.395,133,4.308,123,4.426,4.426,126
132,Chad,4.35,131,4.301,137,3.936,144,3.763,127,4.423,125,4.355,4.355,128
130,Sri Lanka,4.366,116,4.471,120,4.44,117,4.415,130,4.327,126,4.325,4.325,129
142,Comoros,3.973,,,,,138,3.956,134,4.289,128,4.289,4.289,131
134,Ethiopia,4.286,127,4.35,119,4.46,115,4.508,136,4.186,130,4.275,4.275,133
122,Mauritania,4.49,126,4.356,123,4.292,130,4.201,129,4.375,131,4.227,4.227,134
140,India,4.015,133,4.19,122,4.315,118,4.404,144,3.573,136,3.819,3.819,139
143,Madagascar,3.933,143,3.774,144,3.644,148,3.695,137,4.166,132,4.208,4.208,135
139,Togo,4.085,139,3.999,150,3.495,155,3.303,135,4.187,133,4.107,4.107,136
146,Zimbabwe,3.663,144,3.692,138,3.875,131,4.193,151,3.299,145,3.145,3.145,148
127,Congo (Kinshasa),4.418,132,4.245,126,4.28,,,131,4.311,,,,
145,Burundi,3.775,156,2.905,154,2.905,157,2.905,140,3.775,137,3.775,3.775,140
151,Yemen,3.38,152,3.355,146,3.593,147,3.724,146,3.527,138,3.658,3.658,141
150,Malawi,3.41,147,3.587,136,3.97,132,4.156,145,3.538,141,3.6,3.6,144
147,Haiti,3.597,148,3.582,145,3.603,136,4.028,142,3.721,140,3.615,3.615,143
